version,1.8.0
info,balls_per_over,6
info,team,Rajasthan Royals
info,team,Royal Challengers Bangalore
info,team_type,club
info,gender,male
ball,1,6.2,Rajasthan Royals,RV Uthappa,SV Samson,NA Saini,4,0,,,,,,"","",6.2,,,,
ball,1,6.3,Rajasthan Royals,RV Uthappa,SV Samson,NA Saini,4,0,,,,,,"","",6.3,,,,
ball,1,6.4,Rajasthan Royals,RV Uthappa,SV Samson,NA Saini,1,0,,,,,,"","",6.4,,,,
ball,1,6.5,Rajasthan Royals,SV Samson,RV Uthappa,NA Saini,1,0,,,,,,"","",6.5,,,,
ball,1,6.6,Rajasthan Royals,RV Uthappa,SV Samson,NA Saini,0,0,,,,,,"","",6.6,,,,
ball,1,7.1,Rajasthan Royals,SV Samson,RV Uthappa,YS Chahal,6,0,,,,,,"","",7.1,,,,
ball,1,7.2,Rajasthan Royals,SV Samson,RV Uthappa,YS Chahal,0,0,,,,,,"","",7.2,,,,
ball,1,7.3,Rajasthan Royals,SV Samson,RV Uthappa,YS Chahal,1,0,,,,,,"","",7.3,,,,
ball,1,7.4,Rajasthan Royals,RV Uthappa,SV Samson,YS Chahal,0,0,,,,,,caught,RV Uthappa,7.4,,AJ Finch,,
ball,1,7.5,Rajasthan Royals,SV Samson,SPD Smith,YS Chahal,0,0,,,,,,caught,SV Samson,7.5,,CH Morris,,
ball,1,7.6,Rajasthan Royals,JC Buttler,SPD Smith,YS Chahal,0,0,,,,,,"","",7.6,,,,
ball,1,8.1,Rajasthan Royals,SPD Smith,JC Buttler,Shahbaz Ahmed,1,0,,,,,,"","",8.1,,,,
ball,1,8.2,Rajasthan Royals,JC Buttler,SPD Smith,Shahbaz Ahmed,2,0,,,,,,"","",8.2,,,,
ball,1,8.3,Rajasthan Royals,JC Buttler,SPD Smith,Shahbaz Ahmed,0,0,,,,,,"","",8.3,,,,
ball,1,8.4,Rajasthan Royals,JC Buttler,SPD Smith,Shahbaz Ahmed,4,0,,,,,,"","",8.4,,,,
ball,1,8.5,Rajasthan Royals,JC Buttler,SPD Smith,Shahbaz Ahmed,0,0,,,,,,"","",8.5,,,,
ball,1,8.6,Rajasthan Royals,JC Buttler,SPD Smith,Shahbaz Ahmed,0,0,,,,,,"","",8.6,,,,
ball,1,9.1,Rajasthan Royals,SPD Smith,JC Buttler,YS Chahal,1,0,,,,,,"","",9.1,,,,
ball,1,9.2,Rajasthan Royals,JC Buttler,SPD Smith,YS Chahal,0,0,,,,,,"","",9.2,,,,
ball,1,9.3,Rajasthan Royals,JC Buttler,SPD Smith,YS Chahal,1,0,,,,,,"","",9.3,,,,
ball,1,9.4,Rajasthan Royals,SPD Smith,JC Buttler,YS Chahal,1,0,,,,,,"","",9.4,,,,
ball,1,9.5,Rajasthan Royals,JC Buttler,SPD Smith,YS Chahal,1,0,,,,,,"","",9.5,,,,
ball,1,9.6,Rajasthan Royals,SPD Smith,JC Buttler,YS Chahal,0,0,,,,,,"","",9.6,,,,
ball,1,10.1,Rajasthan Royals,JC Buttler,SPD Smith,Shahbaz Ahmed,1,0,,,,,,"","",10.1,,,,
ball,1,10.2,Rajasthan Royals,SPD Smith,JC Buttler,Shahbaz Ahmed,1,0,,,,,,"","",10.2,,,,
ball,1,10.3,Rajasthan Royals,JC Buttler,SPD Smith,Shahbaz Ahmed,6,0,,,,,,"","",10.3,,,,
ball,1,10.4,Rajasthan Royals,JC Buttler,SPD Smith,Shahbaz Ahmed,1,0,,,,,,"","",10.4,,,,
ball,1,10.5,Rajasthan Royals,SPD Smith,JC Buttler,Shahbaz Ahmed,1,0,,,,,,"","",10.5,,,,
ball,1,10.6,Rajasthan Royals,JC Buttler,SPD Smith,Shahbaz Ahmed,1,0,,,,,,"","",10.6,,,,
ball,1,11.1,Rajasthan Royals,JC Buttler,SPD Smith,YS Chahal,1,0,,,,,,"","",11.1,,,,
ball,1,11.2,Rajasthan Royals,SPD Smith,JC Buttler,YS Chahal,1,0,,,,,,"","",11.2,,,,
ball,1,11.3,Rajasthan Royals,JC Buttler,SPD Smith,YS Chahal,0,0,,,,,,"","",11.3,,,,
ball,1,11.4,Rajasthan Royals,JC Buttler,SPD Smith,YS Chahal,0,1,1,,,,,"","",11.4,,,,
ball,1,11.5,Rajasthan Royals,JC Buttler,SPD Smith,YS Chahal,0,0,,,,,,"","",11.4,,,,
ball,1,11.6,Rajasthan Royals,JC Buttler,SPD Smith,YS Chahal,1,0,,,,,,"","",11.5,,,,
ball,1,11.7,Rajasthan Royals,SPD Smith,JC Buttler,YS Chahal,1,0,,,,,,"","",11.6,,,,
ball,1,12.1,Rajasthan Royals,SPD Smith,JC Buttler,Washington Sundar,1,0,,,,,,"","",12.1,,,,
ball,1,12.2,Rajasthan Royals,JC Buttler,SPD Smith,Washington Sundar,0,0,,,,,,"","",12.2,,,,
ball,1,12.3,Rajasthan Royals,JC Buttler,SPD Smith,Washington Sundar,1,0,,,,,,"","",12.3,,,,
ball,1,12.4,Rajasthan Royals,SPD Smith,JC Buttler,Washington Sundar,2,0,,,,,,"","",12.4,,,,
ball,1,12.5,Rajasthan Royals,SPD Smith,JC Buttler,Washington Sundar,2,0,,,,,,"","",12.5,,,,
ball,1,12.6,Rajasthan Royals,SPD Smith,JC Buttler,Washington Sundar,1,0,,,,,,"","",12.6,,,,
ball,1,13.1,Rajasthan Royals,SPD Smith,JC Buttler,NA Saini,1,0,,,,,,"","",13.1,,,,
ball,1,13.2,Rajasthan Royals,JC Buttler,SPD Smith,NA Saini,2,0,,,,,,"","",13.2,,,,
ball,1,13.3,Rajasthan Royals,JC Buttler,SPD Smith,NA Saini,0,0,,,,,,"","",13.3,,,,
ball,1,13.4,Rajasthan Royals,JC Buttler,SPD Smith,NA Saini,0,0,,,,,,"","",13.4,,,,
ball,1,13.5,Rajasthan Royals,JC Buttler,SPD Smith,NA Saini,1,0,,,,,,"","",13.5,,,,
ball,1,13.6,Rajasthan Royals,SPD Smith,JC Buttler,NA Saini,1,0,,,,,,"","",13.6,,,,
ball,1,14.1,Rajasthan Royals,SPD Smith,JC Buttler,I Udana,1,0,,,,,,"","",14.1,,,,
ball,1,14.2,Rajasthan Royals,JC Buttler,SPD Smith,I Udana,1,0,,,,,,"","",14.2,,,,
ball,1,14.3,Rajasthan Royals,SPD Smith,JC Buttler,I Udana,4,0,,,,,,"","",14.3,,,,
ball,1,14.4,Rajasthan Royals,SPD Smith,JC Buttler,I Udana,4,0,,,,,,"","",14.4,,,,
ball,1,14.5,Rajasthan Royals,SPD Smith,JC Buttler,I Udana,0,0,,,,,,"","",14.5,,,,
ball,1,14.6,Rajasthan Royals,SPD Smith,JC Buttler,I Udana,1,0,,,,,,"","",14.6,,,,
ball,1,15.1,Rajasthan Royals,SPD Smith,JC Buttler,CH Morris,6,0,,,,,,"","",15.1,,,,
ball,1,15.2,Rajasthan Royals,SPD Smith,JC Buttler,CH Morris,1,0,,,,,,"","",15.2,,,,
ball,1,15.3,Rajasthan Royals,JC Buttler,SPD Smith,CH Morris,0,1,1,,,,,"","",15.3,,,,
